algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,5591,12311922.0,138590,2512,2512,12311922.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136078,136078,,11183,293,136740,11183,11183,17875,2512,,13694,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,5591,12311922.0,201641,1010,2512,12311922.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73038,0,,11183,293,460249,11183,11183,17875,2512,,13694,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,11182,13419687.0,169944,0,2475,13419687.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,309,0,11183,11183,17875,2475,,13657,77847,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,11182,13419687.0,138608,2475,2475,13419687.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136133,136133,,11183,309,136850,11183,11183,17875,2475,,13657,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,11182,13419687.0,203473,981,2475,13419687.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,75232,0,,11183,309,466392,11183,11183,17875,2475,,13657,0,
prim,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,0,238500.0,272042,0,4715,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,238500.0,0,1039,0,,,,4715,15897,,166054,11183
prim,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,0,238500.0,57725,4551,4715,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,53010,53010,238500.0,11183,1039,54082,,,,4715,15897,,0,11183
prim,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,0,238500.0,125580,3399,4715,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,27049,0,238500.0,11183,1039,254422,,,,4715,15897,,0,11183
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,0,11441517.0,169349,0,2515,11441517.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,375,0,11183,11183,17875,2515,,13697,77509,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,0,11441517.0,137646,2515,2515,11441517.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,135131,135131,,11183,375,135726,11183,11183,17875,2515,,13697,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,0,11441517.0,200657,978,2515,11441517.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,72051,0,,11183,375,457351,11183,11183,17875,2515,,13697,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,5591,12124078.0,171284,0,2546,12124078.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,342,0,11183,11183,17875,2546,,13728,78402,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,5591,12124078.0,139289,2546,2546,12124078.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136743,136743,,11183,342,137141,11183,11183,17875,2546,,13728,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,5591,12124078.0,203088,1023,2546,12124078.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73407,0,,11183,342,463333,11183,11183,17875,2546,,13728,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,11182,14184340.0,169696,0,2500,14184340.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,321,0,11183,11183,17875,2500,,13682,77673,
