graph_source,graph_family,graph_size,graph_num_edges,graph_average_degree,graph_maximum_degree,graph_parameters,seed,algorithm,heap_type,start_vertex,output_value,runtime_ms,mean_runtime_ms,median_runtime_ms,min_runtime_ms,max_runtime_ms,repeats,runtime_measurement,rss_measurement,max_rss_kbytes,median_max_rss_kbytes,reachable_vertex_count,visited_vertex_count,edge_scan_count,relax_attempt_count,successful_relax_count,successful_key_update_count,priority_queue_memory_bytes
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,dijkstra,pairing,12,992,0.018006,0.023652,0.018006,0.011823,0.041127,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,216,108,43,,1400
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,dijkstra,fibonacci,12,992,0.015901,0.0268197,0.015901,0.01462,0.049938,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,216,108,43,,2112
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,dijkstra,binary,24,1157,0.012461,0.0180583,0.012461,0.006525,0.035189,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,216,108,44,,612
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,dijkstra,pairing,24,1157,0.017291,0.0238873,0.017291,0.011567,0.042804,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,216,108,44,,1400
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,dijkstra,fibonacci,24,1157,0.018804,0.0272537,0.018804,0.014673,0.048284,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,216,108,44,,2112
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,prim,binary,0,417,0.014277,0.0199107,0.014277,0.008069,0.037386,3,in_process_steady_clock,child_process_wait4,22136,22136,,25,216,,,58,612
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,prim,pairing,0,417,0.017103,0.022999,0.017103,0.011023,0.040871,3,in_process_steady_clock,child_process_wait4,22136,22136,,25,216,,,58,1400
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,prim,fibonacci,0,417,0.019839,0.027994,0.019839,0.01292,0.051223,3,in_process_steady_clock,child_process_wait4,22136,22136,,25,216,,,58,2112
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,dijkstra,binary,0,1440,0.032675,0.0398437,0.032675,0.020728,0.066128,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,696,348,123,,1224
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,dijkstra,pairing,0,1440,0.046414,0.057498,0.046414,0.034539,0.091541,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,696,348,123,,2800
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,dijkstra,fibonacci,0,1440,0.054163,0.0616583,0.054163,0.038099,0.092713,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,696,348,123,,3712
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,dijkstra,binary,25,2052,0.031837,0.037572,0.031837,0.020619,0.06026,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,696,348,109,,1224
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,dijkstra,pairing,25,2052,0.04507,0.056851,0.04507,0.033464,0.092019,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,696,348,109,,2800
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,dijkstra,fibonacci,25,2052,0.049095,0.0588087,0.049095,0.036355,0.090976,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,696,348,109,,3712
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,dijkstra,binary,49,1774,0.037191,0.0387603,0.037191,0.020097,0.058993,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,696,348,111,,1224
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,dijkstra,pairing,49,1774,0.045186,0.0552573,0.045186,0.034665,0.085921,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,696,348,111,,2800
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,dijkstra,fibonacci,49,1774,0.048082,0.0595673,0.048082,0.039703,0.090917,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,696,348,111,,3712
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,prim,binary,0,436,0.046858,0.045285,0.046858,0.022601,0.066396,3,in_process_steady_clock,child_process_wait4,22136,22136,,50,696,,,140,1224
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,prim,pairing,0,436,0.04463,0.05404,0.04463,0.032211,0.085279,3,in_process_steady_clock,child_process_wait4,22136,22136,,50,696,,,140,2800
synthetic,dense_er_np,50,348,13.92,20,"n=50,p=0.25",0,prim,fibonacci,0,436,0.048523,0.0587747,0.048523,0.036759,0.091042,3,in_process_steady_clock,child_process_wait4,22136,22136,,50,696,,,140,3712
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,dijkstra,binary,0,2308,0.078832,0.0929413,0.078832,0.062365,0.137627,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,1960,980,250,,2448
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,dijkstra,pairing,0,2308,0.11397,0.122526,0.11397,0.096997,0.15661,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,1960,980,250,,5600
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,dijkstra,fibonacci,0,2308,0.128158,0.136059,0.128158,0.107849,0.172171,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,1960,980,250,,6912
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,dijkstra,binary,50,2651,0.075572,0.088347,0.075572,0.056776,0.132693,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,1960,980,243,,2448
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,dijkstra,pairing,50,2651,0.120185,0.123003,0.120185,0.094109,0.154716,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,1960,980,243,,5600
