algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
prim,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",3,0,272610.0,56589,3401,3554,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,53035,53035,272610.0,11325,1346,53774,,,,3554,14878,,0,11325
prim,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",3,0,272610.0,126360,2610,3554,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,28293,0,272610.0,11325,1346,264558,,,,3554,14878,,0,11325
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,0,9469736.0,180424,0,1867,9469736.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,451,0,11325,11325,16214,1867,,13191,83238,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,0,9469736.0,145438,1867,1867,9469736.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,143571,143571,,11325,451,143976,11325,11325,16214,1867,,13191,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,0,9469736.0,212705,741,1867,9469736.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,78313,0,,11325,451,491822,11325,11325,16214,1867,,13191,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,5662,12641324.0,169710,0,1818,12641324.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,327,0,11325,11325,16214,1818,,13142,78098,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,5662,12641324.0,137221,1818,1818,12641324.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,135403,135403,,11325,327,135808,11325,11325,16214,1818,,13142,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,5662,12641324.0,201586,750,1818,12641324.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,73940,0,,11325,327,465530,11325,11325,16214,1818,,13142,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,11324,12058745.0,178368,0,1866,12058745.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,436,0,11325,11325,16214,1866,,13190,82278,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,11324,12058745.0,143997,1865,1866,12058745.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,142131,142131,,11325,436,142434,11325,11325,16214,1866,,13190,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,11324,12058745.0,210668,756,1866,12058745.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,76070,0,,11325,436,485510,11325,11325,16214,1866,,13190,0,
prim,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,0,271749.0,287091,0,3607,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,271749.0,0,1208,0,,,,3607,14931,,176739,11325
prim,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,0,271749.0,56219,3430,3607,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,52612,52612,271749.0,11325,1208,53593,,,,3607,14931,,0,11325
prim,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",4,0,271749.0,123682,2633,3607,,32428,11325,2.8633995584988963,False,7,16214,11325,11325,27506,0,271749.0,11325,1208,258213,,,,3607,14931,,0,11325
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",5,0,10235448.0,179864,0,1813,10235448.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,392,0,11325,11325,16214,1813,,13137,82915,
dijkstra,pairing,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",5,0,10235448.0,144930,1813,1813,10235448.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,143117,143117,,11325,392,143445,11325,11325,16214,1813,,13137,0,
dijkstra,fibonacci,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",5,0,10235448.0,211844,742,1813,10235448.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,76380,0,,11325,392,488463,11325,11325,16214,1813,,13137,0,
dijkstra,binary,snap,snap_roadNet-PA,11325,"dataset=roadNet-PA,component=largest,max_edges=50000",5,5662,12360624.0,170721,0,1825,12360624.0,32428,11325,2.8633995584988963,False,7,16214,11325,11325,0,0,,0,319,0,11325,11325,16214,1825,,13149,78713,
